performer,name
https://www.festivalinfo.nl/artist/87/Brainpower/,Brainpower
https://www.festivalinfo.nl/artist/10274/Branford-Marsalis/,Branford Marsalis
https://www.festivalinfo.nl/artist/10154/Brant-Bjork/,Brant Bjork
https://www.festivalinfo.nl/artist/23801/Bring-Me-The-Horizon/,Bring Me The Horizon
https://www.festivalinfo.nl/artist/62928/Broeder-Dieleman/,Broeder Dieleman
https://www.festivalinfo.nl/artist/77054/Broederliefde/,Broederliefde
https://www.festivalinfo.nl/artist/4802/Brutus/,Brutus
https://www.festivalinfo.nl/artist/3678/Buddy-Guy/,Buddy Guy
https://www.festivalinfo.nl/artist/137670/Budhaditya-Chattopadhyay/,Budhaditya Chattopadhyay
https://www.festivalinfo.nl/artist/7154/Buena-Vista-Social-Club/,Buena Vista Social Club
https://www.festivalinfo.nl/artist/17626/Buffalo-Tom/,Buffalo Tom
https://www.festivalinfo.nl/artist/13627/Bullet-For-My-Valentine/,Bullet For My Valentine
https://www.festivalinfo.nl/artist/5104/Burma-Shave/,Burma Shave
https://www.festivalinfo.nl/artist/9363/Burst/,Burst
https://www.festivalinfo.nl/artist/41296/Burt-Bacharach/,Burt Bacharach
https://www.festivalinfo.nl/artist/1381/Bush/,Bush
http://www.wikidata.org/entity/Q42860835,Busty and the Bass
https://www.festivalinfo.nl/artist/22037/Butthole-Surfers/,Butthole Surfers
https://www.festivalinfo.nl/artist/165869/Buzz-Buzz-de-Strippenkaarten/,Buzz Buzz & de Strippenkaarten
https://www.festivalinfo.nl/artist/21048/Buzzcocks/,Buzzcocks
https://www.festivalinfo.nl/artist/61670/Bokkers/,Bökkers
https://www.festivalinfo.nl/artist/93663/B-Rock/,B’Rock
https://www.festivalinfo.nl/artist/4819/C-Mon-Kypski/,C-Mon & Kypski
https://www.festivalinfo.nl/artist/136259/CMAT/,CMAT
https://www.festivalinfo.nl/artist/124927/CURL/,CURL
https://www.festivalinfo.nl/artist/585/Caesar/,Caesar
https://www.festivalinfo.nl/artist/1676/Cafebar-401/,Cafebar 401
https://www.festivalinfo.nl/artist/33621/Cage-the-Elephant/,Cage the Elephant
https://www.festivalinfo.nl/artist/1637/Calexico/,Calexico
https://www.festivalinfo.nl/artist/1297/Candlemass/,Candlemass
https://www.festivalinfo.nl/artist/5791/Candy-Dulfer/,Candy Dulfer
https://www.festivalinfo.nl/artist/4816/Candybar-Planet/,Candybar Planet
https://www.festivalinfo.nl/artist/1298/Cannibal-Corpse/,Cannibal Corpse
https://www.festivalinfo.nl/artist/90888/Canshaker-Pi/,Canshaker Pi
https://www.festivalinfo.nl/artist/102480/Cappella-Mediterranea/,Cappella Mediterranea
https://www.festivalinfo.nl/artist/165868/Captain-Nemo/,Captain Nemo
https://www.festivalinfo.nl/artist/31055/Carcass/,Carcass
https://www.festivalinfo.nl/artist/23109/Caribou/,Caribou
https://www.festivalinfo.nl/artist/133130/Carl-Gari-Abdullah-Miniawy/,Carl Gari & Abdullah Miniawy
https://www.festivalinfo.nl/artist/29926/Carnation/,Carnation
https://www.festivalinfo.nl/artist/46421/Caro-Emerald/,Caro Emerald
https://www.festivalinfo.nl/artist/22153/Cassandra-Complex/,Cassandra Complex
https://www.festivalinfo.nl/artist/4054/Cathedral/,Cathedral
https://www.festivalinfo.nl/artist/38855/Cathy-van-Eck/,Cathy van Eck
https://www.festivalinfo.nl/artist/24693/Cattle-Decapitation/,Cattle Decapitation
https://www.festivalinfo.nl/artist/21181/Causa-Sui/,Causa Sui
https://www.festivalinfo.nl/artist/90251/Causes/,Causes
https://www.festivalinfo.nl/artist/32700/Cavalera-Conspiracy/,Cavalera Conspiracy
https://www.festivalinfo.nl/artist/54605/Cave/,Cave
https://www.festivalinfo.nl/artist/3552/Cave-In/,Cave In
https://www.festivalinfo.nl/artist/20655/Celestial-Season/,Celestial Season
https://www.festivalinfo.nl/artist/14064/Cephalic-Carnage/,Cephalic Carnage
https://www.festivalinfo.nl/artist/2305/Chaka-Khan/,Chaka Khan
https://www.festivalinfo.nl/artist/124811/Changing-Tides/,Changing Tides
https://www.festivalinfo.nl/artist/4132/Channel-Zero/,Channel Zero
https://www.festivalinfo.nl/artist/81149/Chantal-Acda/,Chantal Acda
https://www.festivalinfo.nl/artist/47930/Charles-Bradley/,Charles Bradley
https://www.festivalinfo.nl/artist/75219/Charles-Bradley-His-Extraordinaires/,Charles Bradley & His Extraordinaires
https://www.festivalinfo.nl/artist/65038/Charli-XCX/,Charli XCX
https://www.festivalinfo.nl/artist/46612/Charlotte-Wessels/,Charlotte Wessels
https://www.festivalinfo.nl/artist/165867/Charmin-Children/,Charmin' Children
https://www.festivalinfo.nl/artist/32183/Chase-Status/,Chase & Status
https://www.festivalinfo.nl/artist/22856/Che-Sudaka/,Che Sudaka
https://www.festivalinfo.nl/artist/51601/ChefSpecial/,Chef'Special
https://www.festivalinfo.nl/artist/61695/Chelsea-Wolfe/,Chelsea Wolfe
https://www.festivalinfo.nl/artist/133240/Chibi-Ichigo/,Chibi Ichigo
https://www.festivalinfo.nl/artist/27183/Chicas-del-Rock/,Chicas del Rock
https://www.festivalinfo.nl/artist/9035/Chimaira/,Chimaira
https://www.festivalinfo.nl/artist/10079/Chords/,Chords
https://www.festivalinfo.nl/artist/165830/Christ-in-Concrete/,Christ in Concrete
https://www.festivalinfo.nl/artist/101627/Christone-Kingfish-Ingram/,Christone ''Kingfish'' Ingram
https://www.festivalinfo.nl/artist/93662/Christoph-Marthaler/,Christoph Marthaler
https://www.festivalinfo.nl/artist/7580/Chuckie/,Chuckie
https://www.festivalinfo.nl/artist/30126/Church-of-Misery/,Church of Misery
https://www.festivalinfo.nl/artist/26996/Cilvaringz/,Cilvaringz
https://www.festivalinfo.nl/artist/79868/Circa-Waves/,Circa Waves
https://www.festivalinfo.nl/artist/162994/Circle-Fin-/,Circle (Fin)
https://www.festivalinfo.nl/artist/84160/Circuit-Des-Yeux/,Circuit Des Yeux
https://www.festivalinfo.nl/artist/2363/Cirith-Gorgor/,Cirith Gorgor
https://www.festivalinfo.nl/artist/48134/City-Pig-Unit/,City Pig Unit
https://www.festivalinfo.nl/artist/136667/Claire-Rousay/,Claire Rousay
https://www.festivalinfo.nl/artist/50125/Claron-McFadden/,Claron McFadden
https://www.festivalinfo.nl/artist/105378/Claude/,Claude
https://www.festivalinfo.nl/artist/22003/Claw-Boys-Claw/,Claw Boys Claw
https://www.festivalinfo.nl/artist/3926/Clawfinger/,Clawfinger
https://www.festivalinfo.nl/artist/76908/Clean-Bandit/,Clean Bandit
https://www.festivalinfo.nl/artist/68365/Clean-Pete/,Clean Pete
https://www.festivalinfo.nl/artist/6559/Clinic/,Clinic
http://www.wikidata.org/entity/Q107293576,ClockClock
https://www.festivalinfo.nl/artist/56354/Cloud-Nothings/,Cloud Nothings
https://www.festivalinfo.nl/artist/102476/Club-Gewalt/,Club Gewalt
https://www.festivalinfo.nl/artist/17578/Clutch/,Clutch
https://www.festivalinfo.nl/artist/139328/Cobra-the-Impaler/,Cobra the Impaler
https://www.festivalinfo.nl/artist/90478/Cocaine-Piss/,Cocaine Piss
https://www.festivalinfo.nl/artist/69103/Coely/,Coely
https://www.festivalinfo.nl/artist/82863/Coilguns/,Coilguns
https://www.festivalinfo.nl/artist/134/Coldplay/,Coldplay
https://www.festivalinfo.nl/artist/65005/Colin-Stetson/,Colin Stetson
https://www.festivalinfo.nl/artist/60915/Collectief-33-13/,Collectief 33 1/3
https://www.festivalinfo.nl/artist/5362/Colleen/,Colleen
https://www.festivalinfo.nl/artist/17875/Colour-Haze/,Colour Haze
https://www.festivalinfo.nl/artist/14841/Comeback-Kid/,Comeback Kid
https://www.festivalinfo.nl/artist/63661/Conan/,Conan
https://www.festivalinfo.nl/artist/123467/Conjurer/,Conjurer
https://www.festivalinfo.nl/artist/3703/Converge/,Converge
https://www.festivalinfo.nl/artist/44688/Cooly-G/,Cooly G
https://www.festivalinfo.nl/artist/3987/Cooper-NL-/,Cooper (NL)
https://www.festivalinfo.nl/artist/288/Coparck/,Coparck
https://www.festivalinfo.nl/artist/19772/Corinne-Bailey-Rae/,Corinne Bailey Rae
https://www.festivalinfo.nl/artist/21544/Corrosion-Of-Conformity/,Corrosion Of Conformity
https://www.festivalinfo.nl/artist/119467/Cory-Wong/,Cory Wong
https://www.festivalinfo.nl/artist/1906/Counting-Crows/,Counting Crows
https://www.festivalinfo.nl/artist/82417/Courtney-Barnett/,Courtney Barnett
https://www.festivalinfo.nl/artist/72/Cradle-Of-Filth/,Cradle Of Filth
https://www.festivalinfo.nl/artist/165829/Crimes-of-Nature/,Crimes of Nature
https://www.festivalinfo.nl/artist/29255/Crippled-Black-Phoenix/,Crippled Black Phoenix
https://www.festivalinfo.nl/artist/2423/Cristina-Branco/,Cristina Branco
https://www.festivalinfo.nl/artist/10578/Crowbar/,Crowbar
https://www.festivalinfo.nl/artist/22028/Crowded-House/,Crowded House
